id,id_unique,form_e_chris,source,energy_pa
25,z39g648rnl,-0.085637,chris,
59,82mwbwbgbl,-0.385069,chris,
69,8495vjvsc3,-0.372952,chris,
72,xonhb1cgnq,-0.753994,chris,
73,8aza84xlvs,-0.609567,chris,
80,vwxrnun48g,-0.387602,chris,
83,9wzqvtmw6a,-0.516924,chris,
107,c48lx363be,-0.576493,chris,
152,6fzy7kcrxy,0.524164,chris,
167,ckbg7d9u6u,-0.519115,chris,
169,mpbd6sz1z5,-0.066073,chris,
173,cant6qca6o,-0.245128,chris,
189,zunqxh6g9j,-0.443086,chris,
196,9y85x1cp6e,-0.352903,chris,
197,xgmkzuxf8g,-0.598759,chris,
199,cfcivdxrc2,-0.849069,chris,
231,mlva81bg7p,-0.456542,chris,
233,nt6wv1n27r,-0.36876,chris,
238,m4cacfvjvh,-0.38088,chris,
244,9uxemw7rv2,-0.414391,chris,
261,vsvsms92ng,-0.75402,chris,
323,x2xj6wb48k,-0.146588,chris,
339,cr6rcena9l,-0.050836,chris,
348,nkmd71vt9q,0.260838,chris,
349,cung63bez1,-0.547077,chris,
385,7am4vwzi7p,1.210884,chris,
388,v1vpxgbg9s,-0.45351,chris,
432,bp7ynac4my,-0.439748,chris,
444,b49kx4c19q,-0.76487,chris,
464,vl6uvqne6d,-0.40718,chris,
469,md7oztcizu,-0.562445,chris,
475,nd919pnr6q,-0.553159,chris,
507,91746y6g6i,-0.562529,chris,
511,b5cib48g9t,-0.282313,chris,
513,9yz2mt8hbh,-0.851212,chris,
527,9ivycocdvw,-0.292942,chris,
530,6w7ezj7gml,-0.561941,chris,
552,mi8ob2xq9h,-0.461191,chris,
575,myc4ng73xh,-0.449481,chris,
592,6obuvfvi9d,-0.539794,chris,
598,ni6svhmw74,-0.149499,chris,
621,bdbizg74vt,0.15131,chris,
622,7ave8rzrzj,2.192766,chris,
647,zu6lnfze71,0.247716,chris,
654,bpc2nk6qz1,-0.502992,chris,
674,xjbj6fbfn1,-0.56194,chris,
682,vhv39q6e9j,1.956524,chris,
689,6dxsvlbymt,0.101942,chris,
10054,v4zonyzw7d,-1.064,oqmd,-7.031491675
