x,y
0.920658683,2.395323551
1.660179641,1.788543232
1.670658683,1.779962474
1.681137725,1.772605707
1.69011976,1.765250771
1.700598802,1.759117994
1.709580838,1.754211039
1.718562874,1.750528075
1.729041916,1.748067268
1.739520958,1.746830452
1.75,1.748041616
1.761976048,1.748026957
1.773952096,1.749236289
1.785928144,1.751669611
1.799401198,1.75532509
1.811377246,1.758982402
1.821856287,1.761417557
1.835329341,1.766297027
1.847305389,1.769954339
1.860778443,1.773609818
2.494011976,1.979689092
