x,y
"0.5493957006427781,",2.395838433
"1.3687453733903063,",1.721419829
"1.4973321411033504,",1.617380661
"1.5092935304421757,",1.607588739
"1.5182645724462949,",1.600244798
"1.5287344527591087,",1.594124847
"1.5407013390599462,",1.588004896
"1.5526700576814547,",1.583108935
"1.5646442732649757,",1.581884945
"1.5766203211691672,",1.581884945
"1.5900933750613828,",1.581884945
"1.6035682612742692,",1.583108935
"1.6140509678317783,",1.585556916
"1.6245336743892875,",1.588004896
"1.6350163809467966,",1.590452876
"1.6440020815162821,",1.592900857
"1.6529877820857672,",1.595348837
"1.6604764766672286,",1.597796818
"1.6679651712486898,",1.600244798
"1.6769508718181751,",1.602692778
"1.6874335783756844,",1.605140759
"1.6979181172538642,",1.608812729
"1.7158913507135056,",1.614932681
"1.7323657458644524,",1.619828641
"1.7488401410153989,",1.624724602
"1.843199158598348,",1.656548348
"2.0978147743680324,",1.739779682
"2.3659107733126157,",1.827906977
"2.493220413518129,",1.870746634
