filename id formula
0-Ir4O8 0 Ir4O8
1-Ir2O4 1 Ir2O4
2-Ir4O8 2 Ir4O8
3-Ir64O128 3 Ir64O128
4-Ir24O48 4 Ir24O48
5-Ir4O8 5 Ir4O8
6-Ir16O32 6 Ir16O32
7-Ir17O34 7 Ir17O34
8-Ir4O8 8 Ir4O8
9-Ir48O96 9 Ir48O96
10-Ir24O48 10 Ir24O48
11-Ir7O14 11 Ir7O14
12-Ir192O384 12 Ir192O384
13-Ir8O16 13 Ir8O16
14-Ir2O4 14 Ir2O4
15-Ir10O20 15 Ir10O20
16-Ir4O8 16 Ir4O8
17-Ir6O12 17 Ir6O12
18-Ir32O64 18 Ir32O64
19-Ir36O72 19 Ir36O72
20-Ir4O8 20 Ir4O8
21-Ir2O4 21 Ir2O4
22-Ir4O8 22 Ir4O8
23-Ir32O64 23 Ir32O64
24-Ir56O112 24 Ir56O112
25-Ir12O24 25 Ir12O24
26-Ir4O8 26 Ir4O8
27-Ir12O24 27 Ir12O24
28-Ir64O128 28 Ir64O128
29-Ir4O8 29 Ir4O8
30-Ir8O16 30 Ir8O16
31-Ir16O32 31 Ir16O32
32-Ir52O104 32 Ir52O104
33-Ir3O6 33 Ir3O6
34-Ir8O16 34 Ir8O16
35-Ir8O16 35 Ir8O16
36-IrO2 36 IrO2
37-Ir8O16 37 Ir8O16
38-Ir3O6 38 Ir3O6
39-Ir4O8 39 Ir4O8
40-Ir120O240 40 Ir120O240
41-Ir36O72 41 Ir36O72
42-Ir8O16 42 Ir8O16
43-Ir48O96 43 Ir48O96
44-Ir6O12 44 Ir6O12
45-Ir2O4 45 Ir2O4
46-Ir2O4 46 Ir2O4
47-Ir24O48 47 Ir24O48
48-Ir48O96 48 Ir48O96
49-Ir16O32 49 Ir16O32
50-Ir96O192 50 Ir96O192
51-Ir16O32 51 Ir16O32
52-Ir64O128 52 Ir64O128
53-Ir44O88 53 Ir44O88
54-Ir4O8 54 Ir4O8
55-Ir4O8 55 Ir4O8
56-Ir12O24 56 Ir12O24
57-Ir6O12 57 Ir6O12
58-Ir4O8 58 Ir4O8
59-Ir24O48 59 Ir24O48
60-Ir11O22 60 Ir11O22
61-Ir10O20 61 Ir10O20
62-Ir16O32 62 Ir16O32
63-Ir16O32 63 Ir16O32
64-Ir13O26 64 Ir13O26
65-Ir12O24 65 Ir12O24
66-Ir12O24 66 Ir12O24
67-Ir24O48 67 Ir24O48
68-Ir8O16 68 Ir8O16
69-Ir8O16 69 Ir8O16
70-Ir16O32 70 Ir16O32
71-Ir15O30 71 Ir15O30
72-Ir8O16 72 Ir8O16
73-Ir12O24 73 Ir12O24
74-Ir8O16 74 Ir8O16
75-Ir32O64 75 Ir32O64
76-Ir12O24 76 Ir12O24
77-Ir12O24 77 Ir12O24
78-Ir16O32 78 Ir16O32
79-Ir20O40 79 Ir20O40
80-Ir32O64 80 Ir32O64
81-Ir2O4 81 Ir2O4
82-Ir7O14 82 Ir7O14
83-Ir16O32 83 Ir16O32
84-Ir16O32 84 Ir16O32
85-Ir8O16 85 Ir8O16
86-Ir12O24 86 Ir12O24
87-Ir16O32 87 Ir16O32
88-Ir2O4 88 Ir2O4
89-Ir72O144 89 Ir72O144
90-Ir48O96 90 Ir48O96
91-Ir24O48 91 Ir24O48
92-Ir36O72 92 Ir36O72
93-Ir36O72 93 Ir36O72
94-Ir2O4 94 Ir2O4
95-Ir16O32 95 Ir16O32
96-Ir8O16 96 Ir8O16
97-Ir24O48 97 Ir24O48
98-Ir10O20 98 Ir10O20
99-Ir4O8 99 Ir4O8
100-Ir16O32 100 Ir16O32
101-Ir16O32 101 Ir16O32
102-Ir8O16 102 Ir8O16
103-Ir3O6 103 Ir3O6
104-Ir24O48 104 Ir24O48
105-Ir32O64 105 Ir32O64
106-Ir8O16 106 Ir8O16
107-Ir6O12 107 Ir6O12
108-Ir4O8 108 Ir4O8
