Prototype_ID,Energy,Uncertainty
237,-0.622161337,0.328851238
133,-0.615620262,0.024875255
53,-0.608358703,0.086484455
132,-0.597560048,0.005534358
174,-0.584098224,0.005394392
207,-0.568950543,0.091654209
118,-0.563791028,0.006489562
217,-0.562762619,0.023537717
164,-0.561479478,0.00533155
247,-0.556042964,0.0050691
266,-0.553913992,0.005440229
267,-0.537819549,0.005064741
265,-0.537478152,0.005168481
202,-0.53478321,0.00618168
4,-0.532737498,0.012391131
87,-0.531965256,0.005552356
95,-0.526137986,0.011217245
28,-0.520771724,0.006719443
181,-0.512918946,0.008111327
84,-0.509417527,0.00763634
136,-0.501580665,0.011638704
45,-0.500254668,0.00550959
255,-0.496267229,0.005694039
72,-0.492795672,0.014004808
13,-0.491629607,0.020348912
134,-0.480772024,0.012296926
77,-0.479806857,0.009523243
187,-0.47957329,0.005298184
26,-0.478060899,0.016909815
110,-0.477501462,0.040056581
184,-0.476450707,0.008454277
268,-0.474900654,0.005440248
225,-0.470342921,0.016690467
25,-0.469700858,0.009726166
190,-0.465506577,0.016634578
27,-0.463442129,0.022966242
24,-0.452547398,0.0261632
204,-0.441744942,0.025580785
57,-0.430241928,0.022446363
176,-0.42751107,0.029559806
94,-0.426582513,0.032747717
260,-0.418987842,0.005652003
264,-0.418848529,0.005677567
71,-0.416858464,0.024649586
253,-0.403258616,0.183533917
222,-0.402745396,0.042880727
65,-0.39972168,0.024924752
115,-0.398259819,0.005266503
149,-0.397519175,0.004862931
224,-0.397166476,0.015674656
201,-0.396897555,0.014759326
38,-0.395448596,0.004753614
54,-0.392876611,0.026040436
168,-0.391523288,0.016166244
116,-0.389068991,0.004753185
238,-0.38649203,0.084132111
47,-0.382581799,0.047564709
55,-0.373032326,0.039679169
182,-0.372508013,0.044527825
192,-0.364558699,0.033696053
254,-0.358100446,0.080830489
216,-0.343961873,0.02599364
97,-0.333287697,0.043460246
129,-0.331401383,0.042625773
14,-0.330489199,0.005706006
108,-0.31899341,0.034873833
208,-0.305970547,0.028480316
86,-0.297322722,0.046276625
6,-0.296084376,0.036965488
223,-0.29542777,0.045823573
249,-0.294464613,0.114221083
157,-0.293474981,0.00558146
33,-0.293229939,0.149494578
9,-0.286603692,0.005592501
102,-0.286563708,0.036689594
44,-0.270415524,0.056042486
160,-0.265943654,0.131139268
242,-0.265922959,0.005666028
146,-0.265757261,0.0055735
191,-0.262819793,0.158496506
64,-0.262333127,0.005700174
198,-0.257546201,0.005680336
32,-0.256822315,0.154682894
218,-0.255136012,0.051353556
244,-0.250354241,0.005647538
128,-0.247437912,0.005655331
117,-0.247052168,0.005620224
88,-0.24673821,0.005644384
156,-0.246453043,0.005672055
34,-0.242074888,0.091157332
186,-0.240405469,0.005693832
92,-0.237851515,0.152680654
166,-0.237725387,0.01835625
69,-0.236086103,0.005655156
185,-0.235302691,0.022752302
258,-0.233737157,1.003823841
121,-0.228778611,0.199638037
105,-0.228667417,0.068651344
112,-0.227934722,0.005710453
239,-0.223399469,0.071611373
68,-0.218397897,0.032204349
153,-0.210999251,0.05718495
256,-0.201364162,0.112455016
122,-0.180087944,0.07324481
0,-0.178178721,0.071009761
231,-0.163374653,0.04506994
178,-0.161706424,0.021626848
193,-0.15839164,0.067806128
151,-0.158064782,0.068181717
126,-0.141451005,0.281765637
98,-0.138514295,0.159541711
196,-0.131541542,0.096538185
245,-0.123353275,0.038063414
123,-0.121028645,0.034335038
141,-0.054341497,0.310629447
80,-0.053075689,0.051345664
221,-0.050920347,0.050996905
12,-0.047976399,0.045115863
120,-0.047580321,0.158092658
31,-0.037394871,0.026730265
109,-0.024520982,0.005705709
188,-0.019384597,0.073029334
180,-0.002496035,0.33703222
16,0.012778328,0.071216314
100,0.013481,0.142308597
215,0.043687671,0.005700786
252,0.067101427,0.317422757
195,0.075461072,0.129548057
89,0.09048463,0.137820879
135,0.104040016,0.056680292
61,0.114998763,0.046420109
138,0.129661514,0.053146638
60,0.131508521,0.054983912
170,0.162474855,0.128405115
227,0.164597596,0.119191752
127,0.183923732,0.072178301
48,0.184070936,0.296331479
125,0.238745217,0.048863041
137,0.252903705,0.344248996
74,0.266031597,0.131353509
58,0.26816147,0.005710416
194,0.27203306,0.156510084
161,0.285081585,0.232575753
232,0.295584033,0.132619208
159,0.336624978,0.080835556
20,0.337868518,0.24333939
169,0.346289982,0.086665025
40,0.346413825,0.116944114
226,0.350217323,0.06081049
99,0.358884763,0.185839694
67,0.376912062,0.040152149
3,0.385984125,0.0057103
2,0.388558764,0.282303412
142,0.398968402,0.054564382
113,0.399902883,0.066880586
205,0.407404757,0.053670005
212,0.411037326,0.057736373
261,0.414409044,0.005707485
162,0.419642035,0.05322605
167,0.427784523,0.054402382
75,0.439572121,0.066033629
150,0.444706031,0.144944054
140,0.455399699,0.110755395
130,0.466736999,0.137755728
21,0.467866603,0.045712087
197,0.468743223,0.093337395
183,0.486043345,0.278964302
42,0.493125106,0.385008421
214,0.501379703,0.183375896
189,0.508869245,0.387192192
50,0.514888377,0.089303409
250,0.516751621,0.054783714
59,0.534195391,0.138894634
203,0.577623725,0.220549138
10,0.580481143,0.211347971
228,0.583062865,0.069602179
257,0.599164938,0.077804466
131,0.619717008,0.06358736
243,0.629272221,0.23508914
179,0.634389117,0.097027904
107,0.642013962,0.019909267
82,0.65345706,0.256949913
171,0.662183364,0.189051535
17,0.666753439,0.098680078
111,0.684106505,0.211437067
63,0.686278952,0.083017635
103,0.696257965,0.24348604
93,0.704071694,0.078756387
233,0.704315726,0.277905783
172,0.706236532,0.194963835
235,0.707426883,0.077970281
173,0.718081857,0.190676454
148,0.724368367,0.051203305
143,0.724376509,0.123583685
22,0.726702668,0.015348105
39,0.728533546,0.079263518
85,0.73937913,0.01404165
155,0.739590074,0.119721374
81,0.74276685,0.034336179
83,0.747221527,0.082876431
91,0.754643096,0.051445692
263,0.759352743,0.005657528
96,0.763159328,0.005659608
262,0.763312071,0.005662782
104,0.763315647,0.005662854
23,0.782510697,0.089270671
177,0.793584465,0.079563183
230,0.798112707,0.114483421
41,0.812458358,0.03358119
1,0.816011669,0.138429426
73,0.8508731,0.041139497
211,0.861305853,0.104547377
248,0.869748089,0.106912256
36,0.872546522,0.079174382
106,0.876837633,0.100059384
5,0.877497741,0.033447445
35,0.899363701,0.034764791
165,0.903510165,0.44748028
7,0.910766693,0.285269394
139,0.920041618,0.031499577
49,0.922710716,0.083996304
62,0.933962208,0.031951632
18,0.948028586,0.104956921
209,0.960745365,0.373820833
251,1.002568004,0.03739116
114,1.015184882,0.040913612
119,1.020534164,0.161314894
79,1.04904905,0.035515352
154,1.055277821,0.055165052
152,1.067191902,0.075341368
29,1.097080181,0.027950753
15,1.101792474,0.025881554
200,1.141390229,0.012153762
101,1.147004042,0.019035687
220,1.155676462,0.21526438
240,1.156768107,0.014150734
46,1.160097494,0.011074439
158,1.162187491,0.012010607
8,1.162857332,0.210862703
163,1.16482729,0.010356137
19,1.167020554,0.019622004
52,1.168935153,0.013826033
76,1.17050812,0.051340398
234,1.170559186,0.051351624
246,1.174033463,0.011147626
11,1.185067283,0.036604259
124,1.187205924,0.006820545
229,1.18936708,0.008797041
37,1.189516731,0.037761194
175,1.189902978,0.00590451
78,1.190562343,0.006441519
219,1.191695735,0.005722461
199,1.191909451,0.005714946
43,1.192166133,0.005722546
259,1.192744086,0.005709899
210,1.192746422,0.005709965
145,1.208883571,0.01291604
206,1.228377757,0.059334334
236,1.246538031,0.061055609
66,1.255226006,0.062754056
147,1.317117351,0.225768828
30,1.31803626,0.081610693
56,1.326575689,0.073739436
70,1.353724106,0.087543071
90,1.36448496,0.152196053
144,1.384090146,0.129582191
51,1.385240601,0.096749907
241,1.390694662,0.072973797
213,1.747056086,0.388949905
