id_unique,number,hall_number,international,hall,pointgroup,lattice_name,atoms_prim,number_of_atoms
8p8evt9pcg,7,21,Pc,P -2yc,m,monoclinic,"Gratoms(symbols='Ir4O12', pbc=True, cell=[[7.115670026375403, 0.0, 0.0], [0.0, 4.887430000029775, 0.0], [-0.3674133668433334, 0.0, 5.108765179530282]], initial_magmoms=...)",16
macixavwv3,15,90,C2/c,-C 2yc,2/m,monoclinic,"Gratoms(symbols='O18Ir6', pbc=True, cell=[[4.232635, -2.4416050000000005, 0.0], [4.232635, 2.4416050000000005, 0.0], [-0.0006987579999986314, 0.0, 12.914799981]], initial_magmoms=...)",24
zimixdvdxd,182,476,P6_322,P 6c 2c,622,hexagonal,"Gratoms(symbols='O18Ir6', pbc=True, cell=[[8.292070000017826, 0.0, 0.0], [-4.146035000008913, 7.181143269974268, 0.0], [0.0, 0.0, 4.372040000035514]], initial_magmoms=...)",24
8ivkxwnhva,20,116,C222_1,C 2c 2,222,orthorhombic,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[2.38977, -4.146735, 0.0], [2.38977, 4.146735, 0.0], [0.0, 0.0, 4.38456]], initial_magmoms=...)",8
9lmkmh8s8r,167,460,R-3c,"-R 3 2""c",-3m,rhombohedral,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[2.443825000041783, 1.4109430216264605, 4.30540000002623], [-2.443825000041783, 1.4109430216264605, 4.30540000002623], [0.0, -2.821886043252921, 4.30540000002623]], initial_magmoms=...)",8
vp7gxqv191,167,460,R-3c,"-R 3 2""c",-3m,rhombohedral,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[2.443714999952763, 1.410879513045454, 4.305366666675409], [-2.443714999952763, 1.410879513045454, 4.305366666675409], [0.0, -2.821759026090908, 4.305366666675409]], initial_magmoms=...)",8
9txdvicqcf,167,460,R-3c,"-R 3 2""c",-3m,rhombohedral,"Gratoms(symbols='Ir2O6', pbc=True, cell=[[2.4434774999947253, 1.4107423923807483, 4.30576666678034], [-2.4434774999947253, 1.4107423923807483, 4.30576666678034], [0.0, -2.8214847847614966, 4.30576666678034]], initial_magmoms=...)",8
8k7expx2bp,167,460,R-3c,"-R 3 2""c",-3m,rhombohedral,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[2.4433899999537116, 1.4106918742085148, 4.306100000078703], [-2.4433899999537116, 1.4106918742085148, 4.306100000078703], [0.0, -2.8213837484170297, 4.306100000078703]], initial_magmoms=...)",8
xwvhnh9sx4,158,448,P3c1,"P 3 -2""c",3m,hexagonal,"Gratoms(symbols='O18Ir6', pbc=True, cell=[[4.886330000298841, 0.0, 0.0], [-2.4431650001494205, 4.23168591153282, 0.0], [0.0, 0.0, 12.921500000078723]], initial_magmoms=...)",24
vlbdnoxlnh,182,476,P6_322,P 6c 2c,622,hexagonal,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[4.781619999894454, 0.0, 0.0], [-2.390809999947227, 4.141004391152342, 0.0], [0.0, 0.0, 4.39131]], initial_magmoms=...)",8
xjxdzi73bg,173,467,P6_3,P 6c,6,hexagonal,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[4.78154999979844, 0.0, 0.0], [-2.39077499989922, 4.140943769290926, 0.0], [0.0, 0.0, 4.39121]], initial_magmoms=...)",8
xg6exl6rmp,182,476,P6_322,P 6c 2c,622,hexagonal,"Gratoms(symbols='Ir2O6', pbc=True, cell=[[4.781709999919981, 0.0, 0.0], [-2.3908549999599904, 4.14108233346079, 0.0], [0.0, 0.0, 4.39025]], initial_magmoms=...)",8
6fcdbh9fz2,182,476,P6_322,P 6c 2c,622,hexagonal,"Gratoms(symbols='Ir2O6', pbc=True, cell=[[4.781490000027572, 0.0, 0.0], [-2.390745000013786, 4.140891807965134, 0.0], [0.0, 0.0, 4.39022]], initial_magmoms=...)",8
9rz5nl9g6o,182,476,P6_322,P 6c 2c,622,hexagonal,"Gratoms(symbols='O6Ir2', pbc=True, cell=[[4.7813499998334095, 0.0, 0.0], [-2.3906749999167047, 4.140770564240454, 0.0], [0.0, 0.0, 4.39195]], initial_magmoms=...)",8
xw9y6rbkxr,150,439,P321,"P 3 2""",32,hexagonal,"Gratoms(symbols='Ir12O36', pbc=True, cell=[[4.8282199999739746, 0.0, 0.0], [-2.4141099999869873, 4.181361175037563, 0.0], [0.0, 0.0, 26.02940000005286]], initial_magmoms=...)",48
v5cym3nycg,149,438,P312,P 3 2,32,hexagonal,"Gratoms(symbols='O24Ir8', pbc=True, cell=[[4.798069999941109, 0.0, 0.0], [-2.3990349999705547, 4.1552505090850005, 0.0], [0.0, 0.0, 17.470200000106434]], initial_magmoms=...)",32
